,customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Average_tenure_Charges,Average_Annual_Charges
81,8108-UXRQN,11,No,Month-to-month,Electronic check,50.55,565.35,0,51.39545454545455,134.20771513353117
82,9191-MYQKX,7,Yes,Month-to-month,Bank transfer (automatic),75.15,496.9,1,70.98571428571428,79.34530938123751
83,9919-YLNNG,42,Yes,Month-to-month,Bank transfer (automatic),103.8,4327.5,0,103.03571428571429,500.28901734104045
84,0318-ZOPWS,49,Yes,Two year,Bank transfer (automatic),20.15,973.35,0,19.864285714285714,579.6625310173698
85,4445-ZJNMU,9,Yes,Month-to-month,Credit card (automatic),99.3,918.75,0,102.08333333333333,111.02719033232628
86,4808-YNLEU,35,Yes,One year,Bank transfer (automatic),62.15,2215.45,0,63.29857142857142,427.7618664521319
87,1862-QRWPE,48,Yes,Two year,Bank transfer (automatic),20.65,1057.0,0,22.020833333333332,614.2372881355932
88,2796-NNUFI,46,Yes,Two year,Mailed check,19.95,927.1,0,20.15434782608696,557.6541353383459
89,3016-KSVCP,29,No,Month-to-month,Mailed check,33.75,1009.25,0,34.80172413793103,358.84444444444443
90,4767-HZZHQ,30,Yes,Month-to-month,Bank transfer (automatic),82.05,2570.2,0,85.67333333333333,375.89762340036566
91,2424-WVHPL,1,Yes,Month-to-month,Electronic check,74.7,74.7,0,74.7,12.0
92,7233-PAHHL,66,Yes,Two year,Mailed check,84.0,5714.25,0,86.57954545454545,816.3214285714284
93,6067-NGCEU,65,Yes,Month-to-month,Credit card (automatic),111.05,7107.0,0,109.33846153846154,767.9783881134624
94,9848-JQJTX,72,Yes,Two year,Bank transfer (automatic),100.9,7459.05,0,103.59791666666666,887.1020812685828
95,8637-XJIVR,12,Yes,Month-to-month,Electronic check,78.95,927.35,1,77.27916666666667,140.95250158328057
96,9803-FTJCG,71,Yes,One year,Credit card (automatic),66.85,4748.7,0,66.8830985915493,852.4218399401645
97,0278-YXOOG,5,Yes,Month-to-month,Mailed check,21.05,113.85,1,22.77,64.90261282660332
98,3212-KXOCR,52,Yes,Two year,Bank transfer (automatic),21.0,1107.2,0,21.292307692307695,632.6857142857143
99,4598-XLKNJ,25,Yes,Month-to-month,Electronic check,98.5,2514.5,1,100.58,306.33502538071065
100,6380-ARCEH,1,Yes,Month-to-month,Mailed check,20.2,20.2,0,20.2,12.0
101,3679-XASPY,1,Yes,Month-to-month,Electronic check,19.45,19.45,0,19.45,12.0
102,7123-WQUHX,38,Yes,One year,Bank transfer (automatic),95.0,3605.6,0,94.88421052631578,455.4442105263157
103,5386-THSLQ,66,No,One year,Bank transfer (automatic),45.55,3027.25,0,45.86742424242424,797.5192096597145
104,3192-NQECA,68,Yes,Two year,Bank transfer (automatic),110.0,7611.85,1,111.93897058823529,830.3836363636365
105,6180-YBIQI,5,No,Month-to-month,Mailed check,24.3,100.2,0,20.04,49.48148148148148
106,6728-DKUCO,72,Yes,One year,Electronic check,104.15,7303.05,0,101.43125,841.4459913586174
107,9750-BOOHV,32,No,One year,Mailed check,30.15,927.65,0,28.9890625,369.2139303482587
108,8597-CWYHH,43,Yes,One year,Mailed check,94.35,3921.3,0,91.19302325581396,498.73449920508756
109,2848-YXSMW,72,Yes,Two year,Credit card (automatic),19.4,1363.25,0,18.93402777777778,843.2474226804125
110,0486-HECZI,55,Yes,Month-to-month,Electronic check,96.75,5238.9,1,95.25272727272727,649.7860465116279
111,4549-ZDQYY,52,Yes,One year,Credit card (automatic),57.95,3042.25,0,58.50480769230769,629.974115616911
112,5712-AHQNN,43,Yes,Month-to-month,Electronic check,91.65,3954.1,0,91.95581395348837,517.721767594108
113,4846-WHAFZ,37,Yes,Month-to-month,Electronic check,76.5,2868.15,1,77.51756756756757,449.90588235294115
114,5256-SKJGO,64,No,Two year,Electronic check,54.6,3423.5,0,53.4921875,752.4175824175824
115,3071-VBYPO,3,Yes,Month-to-month,Electronic check,89.85,248.4,0,82.8,33.17529215358932
116,9560-BBZXK,36,No,Two year,Bank transfer (automatic),31.05,1126.35,0,31.287499999999998,435.30434782608694
117,5299-RULOA,10,Yes,Month-to-month,Electronic check,100.25,1064.65,1,106.465,127.43940149625936
118,8402-OOOHJ,41,Yes,Two year,Mailed check,20.65,835.15,0,20.36951219512195,485.317191283293
119,9445-ZUEQE,27,Yes,Month-to-month,Credit card (automatic),85.2,2151.6,0,79.68888888888888,303.0422535211267
120,1091-SOZGA,56,Yes,One year,Credit card (automatic),99.8,5515.45,0,98.49017857142857,663.1803607214429
121,2928-HLDBA,6,Yes,Month-to-month,Mailed check,20.7,112.75,0,18.791666666666668,65.3623188405797
122,0404-SWRVG,3,Yes,Month-to-month,Electronic check,74.4,229.55,1,76.51666666666667,37.024193548387096
123,6497-TILVL,7,Yes,Month-to-month,Mailed check,50.7,350.35,0,50.050000000000004,82.92307692307693
124,7219-TLZHO,4,Yes,Month-to-month,Mailed check,20.85,62.9,0,15.725,36.20143884892086
125,4622-YNKIJ,33,Yes,Two year,Electronic check,88.95,3027.65,0,91.7469696969697,408.45193929173695
126,4412-YLTKF,27,Yes,Month-to-month,Electronic check,78.05,2135.5,1,79.0925925925926,328.3279948750801
127,6734-PSBAW,72,Yes,Two year,Bank transfer (automatic),23.55,1723.95,0,23.94375,878.4458598726114
128,3930-ZGWVE,1,Yes,Month-to-month,Mailed check,19.75,19.75,0,19.75,12.0
129,2639-UGMAZ,71,No,One year,Electronic check,56.45,3985.35,0,56.131690140845066,847.1957484499555
130,2876-GZYZC,13,Yes,Month-to-month,Electronic check,85.95,1215.65,0,93.51153846153846,169.72425828970333
131,6207-WIOLX,25,No,Month-to-month,Credit card (automatic),58.6,1502.65,1,60.106,307.70989761092153
132,8587-XYZSF,67,Yes,Two year,Bank transfer (automatic),50.55,3260.1,0,48.65820895522388,773.9109792284867
133,3091-FYHKI,1,No,Month-to-month,Electronic check,35.45,35.45,1,35.45,12.0
134,2372-HWUHI,2,Yes,Month-to-month,Electronic check,44.35,81.25,1,40.625,21.984216459977453
135,7799-LGRDP,43,Yes,Two year,Credit card (automatic),25.7,1188.2,0,27.632558139534886,554.8015564202335
136,7850-VWJUU,23,Yes,Month-to-month,Bank transfer (automatic),75.0,1778.5,0,77.32608695652173,284.56
137,3774-VBNXY,64,Yes,Two year,Mailed check,20.2,1277.75,0,19.96484375,759.059405940594
138,6217-KDYWC,57,Yes,Two year,Mailed check,19.6,1170.55,0,20.5359649122807,716.6632653061224
139,0390-DCFDQ,1,Yes,Month-to-month,Mailed check,70.45,70.45,1,70.45,12.0
140,3146-MSEGF,72,Yes,Two year,Credit card (automatic),88.05,6425.65,0,89.24513888888889,875.7274275979557
141,4080-OGPJL,8,Yes,Month-to-month,Electronic check,71.15,563.65,1,70.45625,95.0639494026704
142,1095-WGNGG,61,Yes,Two year,Bank transfer (automatic),101.05,5971.25,0,97.88934426229508,709.1044037605146
143,2636-SJDOU,64,Yes,One year,Credit card (automatic),84.3,5289.05,0,82.64140625,752.8896797153025
144,1131-QQZEB,71,Yes,Two year,Bank transfer (automatic),23.95,1756.2,0,24.735211267605635,879.9331941544885
145,5716-EZXZN,65,Yes,Two year,Credit card (automatic),99.05,6416.7,0,98.71846153846154,777.3891973750631
146,6837-BJYDQ,3,Yes,One year,Mailed check,19.6,61.35,0,20.45,37.56122448979592
147,2135-RXIHG,1,Yes,Month-to-month,Electronic check,45.65,45.65,1,45.65,12.0
148,6440-DKQGE,30,Yes,One year,Credit card (automatic),64.5,1929.95,0,64.33166666666666,359.06046511627903
149,3466-BYAVD,15,Yes,Month-to-month,Mailed check,69.5,1071.4,0,71.42666666666668,184.98992805755398
150,3780-YVMFA,8,Yes,Month-to-month,Electronic check,68.55,564.35,0,70.54375,98.79212253829323
151,3874-EQOEP,7,Yes,Month-to-month,Mailed check,95.0,655.5,1,93.64285714285714,82.80000000000001
152,1679-JRFBR,70,Yes,One year,Credit card (automatic),108.15,7930.55,0,113.29357142857143,879.9500693481276
153,9073-ZZIAY,62,Yes,Two year,Electronic check,86.1,5215.25,0,84.11693548387096,726.8641114982579
154,3077-RSNTJ,6,Yes,Month-to-month,Mailed check,19.7,113.5,0,18.916666666666668,69.13705583756345
155,6551-GNYDG,14,Yes,Month-to-month,Bank transfer (automatic),80.9,1152.8,0,82.34285714285714,170.99629171817054
156,9167-APMXZ,22,Yes,Month-to-month,Bank transfer (automatic),84.15,1821.95,0,82.81590909090909,259.8146167557932
157,2749-CTKAJ,22,Yes,One year,Mailed check,20.15,419.9,0,19.086363636363636,250.06451612903226
158,6371-NZYEG,16,Yes,Two year,Mailed check,64.25,1024.0,0,64.0,191.25291828793775
159,7554-NEWDD,10,Yes,Two year,Bank transfer (automatic),25.7,251.6,0,25.16,117.47859922178989
160,8992-VONJD,13,Yes,Month-to-month,Electronic check,56.0,764.55,0,58.81153846153846,163.83214285714286
161,0867-MKZVY,20,Yes,Month-to-month,Electronic check,82.4,1592.35,1,79.61749999999999,231.89563106796115
162,4482-EWFMI,2,Yes,Month-to-month,Electronic check,69.7,135.2,0,67.6,23.276901004304158
163,4648-YPBTM,53,Yes,Two year,Bank transfer (automatic),73.9,3958.25,0,74.68396226415095,642.7469553450608
164,2907-ILJBN,11,Yes,One year,Mailed check,20.6,233.9,0,21.263636363636365,136.252427184466
165,6345-FZOQH,69,Yes,Two year,Mailed check,19.9,1363.45,0,19.76014492753623,822.1809045226131
166,3376-BMGFE,4,Yes,Month-to-month,Bank transfer (automatic),70.9,273.0,1,68.25,46.205923836389275
167,5997-OPVFA,72,Yes,Two year,Bank transfer (automatic),89.05,6254.45,0,86.86736111111111,842.8231330713081
168,3445-HXXGF,58,No,Month-to-month,Electronic check,45.3,2651.2,1,45.710344827586205,702.3046357615893
169,1159-WFSGR,16,Yes,Month-to-month,Electronic check,20.4,321.4,0,20.0875,189.05882352941177
170,7654-YWJUF,43,Yes,One year,Bank transfer (automatic),84.25,3539.25,0,82.30813953488372,504.106824925816
171,1875-QIVME,2,Yes,Month-to-month,Electronic check,104.4,242.8,1,121.4,27.908045977011497
172,6727-IOTLZ,14,Yes,Two year,Mailed check,81.95,1181.75,0,84.41071428571429,173.04453935326418
173,0691-JVSYA,53,Yes,One year,Bank transfer (automatic),94.85,5000.2,1,94.3433962264151,632.603057459146
174,5918-VUKWP,32,Yes,One year,Bank transfer (automatic),20.55,654.55,0,20.4546875,382.21897810218974
175,1744-JHKYS,34,Yes,Month-to-month,Electronic check,24.7,780.2,0,22.947058823529414,379.0445344129555
176,2656-FMOKZ,15,Yes,Month-to-month,Mailed check,74.45,1145.7,1,76.38000000000001,184.66621893888515
177,2070-FNEXE,7,Yes,Month-to-month,Bank transfer (automatic),76.45,503.6,1,71.94285714285715,79.0477436232832
178,5947-SGKCL,15,Yes,Month-to-month,Bank transfer (automatic),105.35,1559.25,0,103.95,177.6079734219269
179,3712-PKXZA,61,Yes,One year,Credit card (automatic),20.55,1252.0,0,20.524590163934427,731.0948905109489
180,6317-YPKDH,1,No,Month-to-month,Bank transfer (automatic),29.95,29.95,1,29.95,12.0
181,6582-OIVSP,1,Yes,Month-to-month,Mailed check,45.3,45.3,0,45.3,12.0
182,9367-WXLCH,8,Yes,Month-to-month,Bank transfer (automatic),84.5,662.65,1,82.83125,94.10414201183431
183,5524-KHNJP,33,Yes,One year,Credit card (automatic),74.75,2453.3,0,74.34242424242424,393.84080267558534
184,1918-ZBFQJ,13,Yes,Month-to-month,Electronic check,79.25,1111.65,1,85.51153846153846,168.3255520504732
185,1024-GUALD,1,No,Month-to-month,Electronic check,24.8,24.8,1,24.8,12.0
186,4827-USJHP,20,Yes,Month-to-month,Mailed check,51.8,1023.85,0,51.1925,237.18532818532822
187,8167-GJLRN,3,No,Month-to-month,Electronic check,30.4,82.15,0,27.383333333333336,32.42763157894737
188,0956-SYCWG,13,Yes,One year,Electronic check,19.65,244.8,0,18.83076923076923,149.49618320610688
189,8017-UVSZU,40,Yes,Month-to-month,Credit card (automatic),56.6,2379.1,0,59.4775,504.40282685512364
190,7100-FQPRV,43,Yes,One year,Credit card (automatic),71.9,3173.35,0,73.79883720930232,529.6272600834492
191,2472-OVKUP,6,Yes,Month-to-month,Electronic check,91.0,531.0,1,88.5,70.02197802197801
192,2984-RGEYA,69,Yes,Two year,Bank transfer (automatic),19.75,1375.4,0,19.933333333333334,835.6860759493673
193,9680-NIAUV,72,Yes,Two year,Credit card (automatic),109.7,8129.3,0,112.90694444444445,889.2579762989972
194,2146-EGVDT,59,Yes,Two year,Credit card (automatic),19.3,1192.7,0,20.215254237288136,741.5751295336788
195,2604-IJPDU,20,Yes,Month-to-month,Electronic check,96.55,1901.65,0,95.08250000000001,236.35214914552049
196,9178-JHUVJ,24,Yes,Two year,Bank transfer (automatic),24.1,587.4,0,24.474999999999998,292.48132780082983
197,6168-YBYNP,59,Yes,Month-to-month,Electronic check,111.35,6519.75,0,110.5042372881356,702.622361921868
198,7255-SSFBC,72,Yes,Two year,Bank transfer (automatic),112.25,8041.65,0,111.68958333333333,859.6864142538975
199,3645-DEYGF,1,Yes,Month-to-month,Mailed check,20.75,20.75,0,20.75,12.0
200,9323-HGFWY,27,Yes,One year,Credit card (automatic),101.9,2681.15,0,99.30185185185185,315.738959764475
201,8544-GOQSH,14,Yes,Month-to-month,Credit card (automatic),80.05,1112.3,0,79.45,166.74078700811992
202,3363-DTIVD,71,Yes,Two year,Electronic check,105.55,7405.5,0,104.30281690140845,841.9327333017528
203,7018-WBJNK,13,Yes,Month-to-month,Credit card (automatic),78.3,1033.95,0,79.53461538461539,158.45977011494253
204,9142-KZXOP,44,Yes,Month-to-month,Credit card (automatic),68.85,2958.95,0,67.24886363636364,515.7211328976035
205,7674-YTAFD,33,Yes,One year,Bank transfer (automatic),79.95,2684.85,0,81.35909090909091,402.97936210131326
206,6348-SNFUS,72,No,Two year,Credit card (automatic),55.45,4179.2,0,58.044444444444444,904.4256086564471
207,1285-OKIPP,1,Yes,Month-to-month,Electronic check,79.9,79.9,1,79.9,12.0
208,7825-ECJRF,19,Yes,Month-to-month,Electronic check,106.6,1934.45,1,101.81315789473685,217.76172607879926
209,1347-KTTTA,64,Yes,One year,Credit card (automatic),102.45,6654.1,0,103.9703125,779.3967789165447
210,7841-TZDMQ,2,Yes,Month-to-month,Credit card (automatic),46.0,84.5,1,42.25,22.043478260869563
211,4195-NZGTA,1,No,Month-to-month,Electronic check,25.25,25.25,0,25.25,12.0
212,7157-SMCFK,61,Yes,Two year,Mailed check,19.75,1124.2,0,18.42950819672131,683.0582278481013
213,4709-LKHYG,29,Yes,One year,Electronic check,20.0,540.05,0,18.622413793103448,324.03
214,2504-DSHIH,23,Yes,Month-to-month,Electronic check,86.8,1975.85,0,85.90652173913043,273.1589861751152
215,0699-NDKJM,57,No,Month-to-month,Bank transfer (automatic),58.75,3437.45,0,60.30614035087719,702.1174468085105
216,9286-BHDQG,72,No,Two year,Credit card (automatic),45.25,3139.8,0,43.608333333333334,832.6541436464089
217,0230-WEQUW,66,No,Two year,Bank transfer (automatic),56.6,3789.2,0,57.41212121212121,803.3639575971731
218,2040-LDIWQ,65,Yes,Two year,Bank transfer (automatic),84.2,5324.5,0,81.91538461538461,758.8361045130641
219,6496-JDSSB,8,Yes,Month-to-month,Bank transfer (automatic),80.0,624.6,0,78.075,93.69
220,9408-SSNVZ,4,Yes,Month-to-month,Electronic check,70.15,268.35,1,67.0875,45.90449037776194
221,4443-EMBNA,71,Yes,Two year,Bank transfer (automatic),24.75,1836.9,0,25.871830985915494,890.6181818181818
222,6469-MRVET,1,Yes,One year,Electronic check,20.2,20.2,0,20.2,12.0
223,0742-MOABM,4,Yes,Month-to-month,Mailed check,50.05,179.35,1,44.8375,43.000999000999
224,5961-VUSRV,12,Yes,One year,Bank transfer (automatic),19.35,219.35,0,18.279166666666665,136.03100775193798
225,6778-JFCMK,24,No,One year,Mailed check,50.6,1288.75,0,53.697916666666664,305.63241106719363
226,6341-JVQGF,31,Yes,One year,Mailed check,81.15,2545.75,0,82.12096774193549,376.4510166358595
227,2232-DMLXU,1,Yes,Month-to-month,Mailed check,55.2,55.2,1,55.2,12.0
228,4811-JBUVU,30,Yes,Month-to-month,Credit card (automatic),89.9,2723.15,0,90.77166666666668,363.4905450500556
229,0945-TSONX,47,Yes,Two year,Credit card (automatic),85.3,4107.25,0,87.38829787234043,577.8077373974209
230,2651-ZCBXV,54,Yes,Two year,Credit card (automatic),108.0,5760.65,0,106.6787037037037,640.0722222222222
231,3316-UWXUY,50,Yes,Month-to-month,Credit card (automatic),93.5,4747.5,0,94.95,609.3048128342245
232,8937-RDTHP,1,Yes,Month-to-month,Mailed check,84.6,84.6,1,84.6,12.0
233,7083-MIOPC,72,Yes,Two year,Credit card (automatic),20.25,1566.9,0,21.762500000000003,928.5333333333333
234,1984-GPTEH,29,Yes,Month-to-month,Electronic check,25.15,702.0,0,24.20689655172414,334.9502982107356
235,1251-KRREG,2,Yes,Month-to-month,Mailed check,54.4,114.1,1,57.05,25.16911764705882
236,0621-JFHOL,10,No,Two year,Mailed check,29.6,299.05,0,29.905,121.23648648648648
237,9903-LYSAB,18,Yes,Month-to-month,Electronic check,73.15,1305.95,0,72.55277777777778,214.23650034176347
238,0094-OIFMO,11,Yes,Month-to-month,Electronic check,95.0,1120.3,1,101.84545454545454,141.51157894736843
239,9227-UAQFT,16,Yes,Two year,Mailed check,19.75,284.35,0,17.771875,172.76962025316456
240,7301-ABVAD,72,Yes,Two year,Bank transfer (automatic),86.6,6350.5,0,88.20138888888889,879.9769053117784
241,6614-FHDBO,72,Yes,Two year,Bank transfer (automatic),109.2,7878.3,0,109.42083333333333,865.7472527472528
242,7576-ASEJU,41,Yes,One year,Credit card (automatic),74.7,3187.65,0,77.74756097560976,512.0722891566265
243,9058-HRZSV,65,Yes,Month-to-month,Electronic check,94.4,6126.15,0,94.24846153846153,778.7478813559321
244,4522-AKYLR,13,Yes,Month-to-month,Electronic check,54.8,731.3,0,56.25384615384615,160.13868613138686
245,0221-WMXNQ,4,Yes,Month-to-month,Electronic check,75.35,273.4,0,68.35,43.540809555408096
246,0303-UNCIP,41,Yes,One year,Mailed check,65.0,2531.8,0,61.75121951219513,467.4092307692308
247,9947-OTFQU,15,Yes,Month-to-month,Electronic check,74.4,1074.3,1,71.61999999999999,173.27419354838707
248,0322-YINQP,1,Yes,Month-to-month,Mailed check,48.55,48.55,1,48.55,12.0
249,0959-WHOKV,42,Yes,One year,Electronic check,99.0,4298.45,0,102.34404761904761,521.0242424242424
250,4075-JFPGR,51,Yes,One year,Electronic check,93.5,4619.55,0,90.57941176470588,592.883422459893
251,4629-NRXKX,2,Yes,Month-to-month,Electronic check,70.4,147.15,1,73.575,25.082386363636367
